City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,10.07,67,22,0.89,AU,1698703150
1,port-aux-francais,-49.35,70.2167,2.8,92,99,17.75,TF,1698703404
2,hamilton,39.1834,-84.5333,8.19,82,100,5.14,US,1698703160
3,grytviken,-54.2811,-36.5092,4.36,83,6,2.91,GS,1698703161
4,basse-terre,16.1667,-61.6667,26.58,78,20,3.6,GP,1698703210
5,nar'yan-mar,67.6713,53.087,-6.61,95,97,4.47,RU,1698703406
6,bethel,41.3712,-73.414,12.93,87,100,1.34,US,1698703379
7,waitangi,-43.9535,-176.5597,14.34,84,100,6.71,NZ,1698703408
8,nyala,12.05,24.8833,28.52,20,100,2.65,SD,1698703409
9,punta arenas,-53.15,-70.9167,7.06,57,0,6.17,CL,1698703170
10,guerrero negro,27.9769,-114.0611,22.2,57,0,5.26,MX,1698703311
11,puerto natales,-51.7236,-72.4875,6.71,51,64,1.69,CL,1698703411
12,las vegas,36.175,-115.1372,20.62,13,0,12.52,US,1698703265
13,ushuaia,-54.8,-68.3,4.81,60,75,9.26,AR,1698703166
14,salahonda,2.1019,-78.7217,26.37,82,85,4.51,CO,1698703413
15,adamstown,-25.066,-130.1015,22.88,73,100,3.63,PN,1698703157
16,lihue,21.9789,-159.3672,27.58,75,51,2.06,US,1698703414
17,puerto ayora,-0.7393,-90.3518,27.98,90,100,2.24,EC,1698703168
18,uglegorsk,49.0833,142.0333,4.77,86,66,2.23,RU,1698703415
19,champerico,14.3,-91.9167,26.3,80,97,3.96,GT,1698703415
20,arboga,59.3939,15.8388,2.94,98,100,1.78,SE,1698703416
21,kailua-kona,19.6406,-155.9956,30.71,70,0,2.24,US,1698703417
22,port mathurin,-19.6833,63.4167,24.8,80,0,7.58,MU,1698703264
23,port elizabeth,-33.918,25.5701,15.17,84,75,6.69,ZA,1698703419
24,bredasdorp,-34.5322,20.0403,14.12,74,0,7.2,ZA,1698703420
25,bilibino,68.0546,166.4372,-18.44,75,53,1.57,RU,1698703420
26,gutao,37.2025,112.1781,14.38,47,51,2.8,CN,1698703421
27,tsiombe,-25.3,45.4833,21.08,88,88,2.14,MG,1698703421
28,richards bay,-28.783,32.0377,14.66,84,97,3.64,ZA,1698703422
29,yeppoon,-23.1333,150.7333,21.88,46,2,1.72,AU,1698703422
30,brookings,44.3114,-96.7984,5.1,49,100,8.75,US,1698703423
31,badger,64.8,-147.5333,1.87,86,100,0.0,US,1698703179
32,chapaev,50.2,51.1667,2.96,79,80,3.81,KZ,1698703423
33,borazjan,29.2666,51.2159,25.54,42,53,1.59,IR,1698703424
34,vysokiy,58.35,60.05,-5.82,96,97,0.54,RU,1698703424
35,taungdwingyi,20.0167,95.55,22.8,81,100,1.86,MM,1698703425
36,dunedin,-45.8742,170.5036,18.37,70,100,4.02,NZ,1698703235
37,kapa'a,22.0752,-159.319,27.99,74,42,2.68,US,1698703426
38,kuqa,41.7278,82.9364,13.06,38,13,1.04,CN,1698703235
39,albany,42.6001,-73.9662,8.27,86,100,0.89,US,1698703287
40,pisco,-13.7,-76.2167,23.03,64,65,10.29,PE,1698703229
41,vilyuchinsk,52.9306,158.4028,1.15,77,65,3.19,RU,1698703427
42,bodaybo,57.8506,114.1933,-9.76,52,98,1.39,RU,1698703428
43,orange walk,17.8333,-88.8333,31.46,51,27,1.96,BZ,1698703429
44,aliveri,38.4167,24.0333,20.78,76,0,1.15,GR,1698703429
45,tazovsky,67.4667,78.7,-16.97,96,23,1.77,RU,1698703430
46,port alfred,-33.5906,26.891,13.99,94,62,0.45,ZA,1698703160
47,waat,51.1454,6.4958,13.28,96,100,2.57,DE,1698703431
48,noosa heads,-26.3833,153.15,24.5,56,14,4.2,AU,1698703315
49,wainwright,52.839,-110.8572,-2.29,50,99,3.31,CA,1698703432
50,bor,56.3567,44.0669,1.11,100,100,2.47,RU,1698703381
51,puerto armuelles,8.2833,-82.8667,27.99,75,100,4.47,PA,1698703433
52,olonkinbyen,70.9221,-8.7187,1.45,72,100,5.23,SJ,1698703433
53,le port,-20.9373,55.2919,24.0,88,3,7.17,RE,1698703281
54,ponta delgada,37.7333,-25.6667,18.4,72,40,3.09,PT,1698703434
55,papatowai,-46.5619,169.4708,17.82,49,100,0.87,NZ,1698703434
56,thompson,55.7435,-97.8558,-5.91,68,100,5.66,CA,1698703163
57,pueblo,38.2545,-104.6091,11.91,43,0,0.0,US,1698703436
58,kurtamysh,54.9103,64.4319,-4.69,96,92,4.02,RU,1698703436
59,bata,1.8639,9.7658,27.3,86,100,4.53,GQ,1698703437
60,nemuro,43.3236,145.575,10.01,82,47,4.86,JP,1698703245
61,kourou,5.1552,-52.6478,29.03,84,19,2.79,GF,1698703438
62,tiksi,71.6872,128.8694,-21.7,100,21,1.69,RU,1698703159
63,happy valley-goose bay,53.3168,-60.3315,0.17,40,40,6.69,CA,1698703439
64,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1698703440
65,mitu,1.1983,-70.1733,27.74,72,98,1.33,CO,1698703440
66,uturoa,-16.7333,-151.4333,26.14,80,8,8.16,PF,1698703441
67,monticello,45.3055,-93.7941,3.45,62,100,5.66,US,1698703372
68,edinburgh of the seven seas,-37.0676,-12.3116,12.81,90,92,13.4,SH,1698703161
69,hilo,19.7297,-155.09,27.57,86,73,2.24,US,1698703442
70,avarua,-21.2078,-159.775,25.03,73,75,8.75,CK,1698703443
71,inirida,3.8653,-67.9239,28.88,72,89,1.15,CO,1698703444
